x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
-0.844345,0.441299,-0.269150,0.990003,20534.740585,2001-01-01 06:42:14.741 +0100
-0.829346,0.396713,-0.275467,0.959728,20534.711190,2001-01-01 06:42:14.711 +0100
-0.842316,0.387726,-0.310165,0.977768,20534.681794,2001-01-01 06:42:14.682 +0100
-0.898529,0.384048,-0.316101,1.027019,20534.652399,2001-01-01 06:42:14.652 +0100
-0.952698,0.369537,-0.281815,1.060005,20534.623003,2001-01-01 06:42:14.623 +0100
-0.987015,0.369614,-0.234482,1.079719,20534.593610,2001-01-01 06:42:14.594 +0100
-1.022614,0.349548,-0.232086,1.105344,20534.564216,2001-01-01 06:42:14.564 +0100
-1.064484,0.324081,-0.280487,1.147531,20534.534822,2001-01-01 06:42:14.535 +0100
-1.107529,0.312302,-0.343811,1.200982,20534.505428,2001-01-01 06:42:14.505 +0100
-1.107971,0.387238,-0.379089,1.233394,20534.476037,2001-01-01 06:42:14.476 +0100
-1.061401,0.415176,-0.370514,1.198426,20534.446645,2001-01-01 06:42:14.447 +0100
-1.071869,0.368652,-0.328278,1.180074,20534.417247,2001-01-01 06:42:14.417 +0100
-1.076843,0.216110,-0.298019,1.138029,20534.387863,2001-01-01 06:42:14.388 +0100
-1.002090,-0.002594,-0.241867,1.030869,20534.358471,2001-01-01 06:42:14.358 +0100
-1.227524,0.011795,-0.203842,1.244390,20534.329077,2001-01-01 06:42:14.329 +0100
-1.570435,0.339859,-0.298233,1.634231,20534.299688,2001-01-01 06:42:14.300 +0100
-1.450668,0.393982,-0.408249,1.557667,20534.270292,2001-01-01 06:42:14.270 +0100
-1.237289,0.174545,-0.316391,1.288974,20534.240895,2001-01-01 06:42:14.241 +0100
-1.275635,0.249573,-0.297287,1.333383,20534.211497,2001-01-01 06:42:14.211 +0100
-1.221237,0.309326,-0.301331,1.295339,20534.182104,2001-01-01 06:42:14.182 +0100
-1.114197,0.311096,-0.308701,1.197293,20534.152713,2001-01-01 06:42:14.153 +0100
-1.013657,0.352844,-0.289566,1.111687,20534.123321,2001-01-01 06:42:14.123 +0100
-0.932877,0.337646,-0.244186,1.021710,20534.093931,2001-01-01 06:42:14.094 +0100
-0.902435,0.278549,-0.173935,0.960329,20534.064536,2001-01-01 06:42:14.065 +0100
-0.841705,0.288208,-0.171097,0.905983,20534.035133,2001-01-01 06:42:14.035 +0100
-0.860031,0.259705,-0.156525,0.911921,20534.005746,2001-01-01 06:42:14.006 +0100
-0.870346,0.246826,-0.159286,0.918585,20533.976352,2001-01-01 06:42:13.976 +0100
-0.877884,0.244186,-0.185623,0.929926,20533.946959,2001-01-01 06:42:13.947 +0100
-0.922775,0.263718,-0.241989,0.989758,20533.917563,2001-01-01 06:42:13.918 +0100
-1.075470,0.369568,-0.284180,1.172166,20533.888163,2001-01-01 06:42:13.888 +0100
-1.129608,0.417801,-0.278885,1.236264,20533.858735,2001-01-01 06:42:13.859 +0100
-1.018372,0.372910,-0.212341,1.105093,20533.829367,2001-01-01 06:42:13.829 +0100
-0.928940,0.367004,-0.145126,1.009298,20533.799972,2001-01-01 06:42:13.800 +0100
-0.847443,0.357376,-0.145325,0.931126,20533.770576,2001-01-01 06:42:13.771 +0100
-0.712372,0.270386,-0.174866,0.781767,20533.741179,2001-01-01 06:42:13.741 +0100
-0.848755,0.395370,-0.234055,0.965134,20533.711781,2001-01-01 06:42:13.712 +0100
-1.074234,0.632385,-0.285370,1.278799,20533.682387,2001-01-01 06:42:13.682 +0100
-0.909210,0.560944,-0.307175,1.111610,20533.652988,2001-01-01 06:42:13.653 +0100
-0.777954,0.469528,-0.300827,0.957166,20533.623596,2001-01-01 06:42:13.624 +0100
-0.791687,0.507828,-0.311951,0.990944,20533.594201,2001-01-01 06:42:13.594 +0100
-0.836227,0.561020,-0.331345,1.060099,20533.564808,2001-01-01 06:42:13.565 +0100
-0.821915,0.521225,-0.340775,1.031187,20533.535412,2001-01-01 06:42:13.535 +0100
-0.801804,0.443069,-0.318329,0.969811,20533.506020,2001-01-01 06:42:13.506 +0100
-0.806107,0.370148,-0.291458,0.933684,20533.476626,2001-01-01 06:42:13.477 +0100
-0.865814,0.350845,-0.275497,0.973974,20533.447230,2001-01-01 06:42:13.447 +0100
-0.880554,0.323120,-0.258408,0.972912,20533.417834,2001-01-01 06:42:13.418 +0100
-0.905167,0.296890,-0.241745,0.982808,20533.388437,2001-01-01 06:42:13.388 +0100
-0.922256,0.251389,-0.257080,0.989870,20533.359035,2001-01-01 06:42:13.359 +0100
-0.982925,0.235519,-0.306198,1.056110,20533.329638,2001-01-01 06:42:13.330 +0100
-1.050644,0.296036,-0.361084,1.149727,20533.300243,2001-01-01 06:42:13.300 +0100
-1.082047,0.377731,-0.377380,1.206616,20533.270840,2001-01-01 06:42:13.271 +0100
-1.030060,0.396805,-0.340591,1.155197,20533.241447,2001-01-01 06:42:13.241 +0100
-1.089661,0.360504,-0.280258,1.181469,20533.212050,2001-01-01 06:42:13.212 +0100
-1.135178,0.185532,-0.233429,1.173686,20533.182653,2001-01-01 06:42:13.183 +0100
-1.067978,-0.094254,-0.165817,1.084876,20533.153253,2001-01-01 06:42:13.153 +0100
-1.320511,0.007751,-0.176575,1.332287,20533.123859,2001-01-01 06:42:13.124 +0100
-1.645157,0.345856,-0.286301,1.705323,20533.094468,2001-01-01 06:42:13.094 +0100
-1.466949,0.316879,-0.343994,1.539703,20533.065074,2001-01-01 06:42:13.065 +0100
-1.270538,0.194656,-0.293594,1.318467,20533.035680,2001-01-01 06:42:13.036 +0100
-1.211258,0.271820,-0.337540,1.286454,20533.006283,2001-01-01 06:42:13.006 +0100
-1.066925,0.251129,-0.351105,1.150943,20532.976885,2001-01-01 06:42:12.977 +0100
-0.983795,0.221954,-0.304993,1.053630,20532.947488,2001-01-01 06:42:12.947 +0100
-0.933334,0.219757,-0.238190,0.987998,20532.918092,2001-01-01 06:42:12.918 +0100
-0.914902,0.231308,-0.191849,0.962992,20532.888689,2001-01-01 06:42:12.889 +0100
-0.863449,0.267151,-0.223618,0.931085,20532.859300,2001-01-01 06:42:12.859 +0100
-0.829285,0.277725,-0.237778,0.906302,20532.829909,2001-01-01 06:42:12.830 +0100
-0.816742,0.256119,-0.227676,0.885720,20532.800517,2001-01-01 06:42:12.801 +0100
-0.787720,0.249023,-0.194031,0.848624,20532.771125,2001-01-01 06:42:12.771 +0100
-0.811264,0.291458,-0.188583,0.882418,20532.741730,2001-01-01 06:42:12.742 +0100
-0.922028,0.378235,-0.243851,1.025992,20532.712337,2001-01-01 06:42:12.712 +0100
-1.069000,0.450012,-0.279266,1.193006,20532.682942,2001-01-01 06:42:12.683 +0100
-1.097290,0.457672,-0.252975,1.215527,20532.653545,2001-01-01 06:42:12.654 +0100
-1.022263,0.467880,-0.179031,1.138413,20532.624151,2001-01-01 06:42:12.624 +0100
